name,metric,min,max,avg,sd,median,pct90,pct95,pct99
Strings,ops,522504,573745,550694.8333333334,12897.553277226225,534773,557185,519843,572706
Strings,ns/op,2104,2145,2119.6666666666665,9.809292646374777,2127,2111,2107,2122
Strings,allocs/op,0,0,0,0,0,0,0,0
Strings,B/op,0,0,0,0,0,0,0,0
IntsRef,ops,487230,594344,564910.5,23752.636120018342,534175,583095,562086,526519
IntsRef,ns/op,2101,2179,2121.6,17.689168060331912,2126,2115,2136,2097
IntsRef,allocs/op,0,0,0,0,0,0,0,0
IntsRef,B/op,0,0,0,0,0,0,0,0
Ints,ops,531928,593430,568029.7666666667,17016.005221914522,560305,567834,583310,524018
Ints,ns/op,2097,2141,2116.133333333333,9.19323422716704,2121,2112,2105,2112
Ints,allocs/op,0,0,0,0,0,0,0,0
Ints,B/op,0,0,0,0,0,0,0,0
StringsClojures,ops,825,886,871,13.525284963110142,869,880,886,864
StringsClojures,ns/op,1347314,1379704,1365271.4333333333,7783.637066236381,1373900,1372056,1357110,1392032
StringsClojures,allocs/op,10025,10026,10025.233333333334,0.4229525846816508,10025,10025,10025,10027
StringsClojures,B/op,320596,321148,320633.5,109.52982850955868,320606,320601,320597,321533
StringsRef,ops,508136,575467,540639.6333333333,14625.631319669208,544043,543561,490424,622599
StringsRef,ns/op,2106,2164,2124.233333333333,12.44101639291938,2121,2128,2116,2130
StringsRef,allocs/op,0,0,0,0,0,0,0,0
StringsRef,B/op,0,0,0,0,0,0,0,0
IntsClojures,ops,846,901,886.2666666666667,11.727271161224541,861,885,864,880
IntsClojures,ns/op,1328733,1370683,1350533.2666666666,9760.409403753967,1360269,1351851,1354844,1360869
IntsClojures,allocs/op,10003,10004,10003.033333333333,0.17950549357115012,10003,10003,10003,10003
IntsClojures,B/op,320128,320868,320174.06666666665,150.9487624622636,320133,320130,320132,320131
StructsClojures,ops,194,207,202.56666666666666,3.0515933907095523,203,201,206,206
StructsClojures,ns/op,5689222,5879486,5763951.033333333,53744.17656793669,5786301,5691039,5746824,5717653
StructsClojures,allocs/op,10003,10003,10003,0,10003,10003,10003,10003
StructsClojures,B/op,722888,748786,731437.2,6040.343011231509,729594,734425,725644,725319
Structs,ops,420,466,450.46666666666664,12.776888857968865,454,460,460,438
Structs,ns/op,2488077,2637872,2537050.5,30777.646457291044,2527629,2526523,2542390,2468236
Structs,allocs/op,0,0,0,0,0,0,0,0
Structs,B/op,171680,190483,177748.5,5238.292048304804,176034,173919,173919,182518
StructsRef,ops,536964,562711,557762.5,4464.692507142383,560115,559382,559345,561191
StructsRef,ns/op,2125,2160,2139.4,7.4948871461372475,2141,2138,2138,2130
StructsRef,allocs/op,0,0,0,0,0,0,0,0
StructsRef,B/op,142,148,142.96666666666667,1.13968806648525,142,143,143,141
