name,metric,min,max,avg,sd,median,pct90,pct95,pct99
IntsClosures,ops,886,924,907.06,9.544443409649409,901,886,895,899
IntsClosures,ns/op,1298899,1339836,1322607.18,10329.689237707009,1325678,1331997,1331462,1333268
IntsClosures,allocs/op,10003,10004,10003.02,0.14000000000000007,10003,10003,10003,10003
IntsClosures,B/op,320125,320547,320147.16,67.48847605332337,320128,320130,320129,320129
Strings,ops,530400,599862,554932.78,15398.25156086236,563735,543736,570672,537463
Strings,ns/op,2084,2159,2101.5,12.586103447850729,2095,2096,2086,2119
Strings,allocs/op,0,0,0,0,0,0,0,0
Strings,B/op,0,0,0,0,0,0,0,0
Ints,ops,541410,598936,572655.7,12309.2130654238,571803,570456,577496,590116
Ints,ns/op,2084,2120,2097.34,7.543500513687262,2096,2094,2094,2098
Ints,allocs/op,0,0,0,0,0,0,0,0
Ints,B/op,0,0,0,0,0,0,0,0
StructsClosures,ops,195,212,208.24,3.3915188337970337,209,207,212,219
StructsClosures,ns/op,5544692,5708620,5601308.62,39476.70246253605,5602382,5595682,5659419,5578023
StructsClosures,allocs/op,10003,10003,10003,0,10003,10003,10003,10003
StructsClosures,B/op,713772,746672,720691.16,6431.089305428747,719224,722888,714658,700006
StringsRef,ops,499042,579435,549897.52,14693.113451192026,549821,521541,554112,514557
StringsRef,ns/op,2088,2448,2129.44,59.02919955411899,2130,2223,2125,2061
StringsRef,allocs/op,0,0,0,0,0,0,0,0
StringsRef,B/op,0,0,0,0,0,0,0,0
Structs,ops,468,535,522.08,12.33505573558547,499,500,521,541
Structs,ns/op,2169635,2228114,2201891.46,13293.688462138716,2205222,2208188,2213761,2230761
Structs,allocs/op,0,0,0,0,0,0,0,0
Structs,B/op,149538,170946,153329.3,3841.6355384132944,160947,160006,153684,147823
StructsRef,ops,524200,564674,557511.3,7014.006675930669,554085,559170,559675,556635
StructsRef,ns/op,2105,2318,2147.08,38.7617543462625,2130,2134,2163,2127
StructsRef,allocs/op,0,0,0,0,0,0,0,0
StructsRef,B/op,141,152,142.98,1.8813824704190296,143,143,142,143
IntsRef,ops,546271,613678,570237.3,14051.169854855505,565447,584618,564936,606408
IntsRef,ns/op,2083,2125,2096.8,8.299397568498573,2097,2097,2099,2093
IntsRef,allocs/op,0,0,0,0,0,0,0,0
IntsRef,B/op,0,0,0,0,0,0,0,0
StringsClosures,ops,847,909,893.6,10.061808982484212,895,909,906,908
StringsClosures,ns/op,1315937,1390042,1335276.5,10583.785459371331,1332776,1318659,1330583,1316067
StringsClosures,allocs/op,10024,10029,10024.92,0.7440430095095311,10024,10024,10024,10024
StringsClosures,B/op,320583,322555,320644.42,281.91346828415277,320592,320583,320585,320583
