goos: windows
goarch: amd64
pkg: github.com/zekroTutorials/go-range-benchmarks
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkInts-16               	  566730	      2135 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570108	      2121 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  598068	      2109 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  564160	      2125 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  564655	      2110 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  576590	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556688	      2124 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  551670	      2100 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  582416	      2110 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570154	      2146 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556400	      2115 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  552867	      2117 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  574948	      2109 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  569797	      2122 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  576370	      2113 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570624	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  544321	      2120 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  550569	      2134 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556719	      2111 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583183	      2116 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570542	      2125 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  558687	      2123 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  566919	      2111 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556849	      2123 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  599268	      2112 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  571218	      2124 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570691	      2115 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  582608	      2110 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  551944	      2109 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556136	      2122 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  579927	      2116 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  562449	      2113 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570721	      2115 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570415	      2113 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583407	      2127 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  555951	      2112 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  546327	      2117 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  592501	      2117 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556432	      2124 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  555174	      2118 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  568347	      2111 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583050	      2121 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  554661	      2143 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  542000	      2105 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  581355	      2110 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  573711	      2113 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  596634	      2136 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570116	      2127 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  584410	      2110 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  568641	      2120 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	   13172	     89264 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13279	     90233 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13287	     90045 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13411	     89939 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13292	     92322 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13258	     89269 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13225	     89470 ns/op	   80006 B/op	   10000 allocs/op
