name,metric,min,max,avg,sd,median,pct90,pct95,pct99
Structs,ops,24,27,24.8,0.9797958971132711,24,25,25,25
Structs,ns/op,40454031,43548320,42076321.5,854158.8423918879,42994639,41954393,41923441,41898679
Structs,allocs/op,0,0,0,0,0,0,0,0
Structs,B/op,29629857,33333589,32306800.4,1228121.4408525077,33333589,32000245,32000245,32000245
StructsClojures,ops,10,10,10,0,10,10,10,10
StructsClojures,ns/op,101813728,107166419,105542156.5,1414555.7990880564,106864034,105601238,105696848,105773335
StructsClojures,allocs/op,100003,100003,100003,0,100003,100003,100003,100003
StructsClojures,B/op,83217014,83217043,83217022.8,9.097252332435326,83217019,83217014,83217009,83217005
StructsRef,ops,35524,38804,37901.4,969.5757010156557,38391,38475,39380,40103
StructsRef,ns/op,27832,28766,28230.5,275.84062427423555,28290,27930,27763,27629
StructsRef,allocs/op,0,0,0,0,0,0,0,0
StructsRef,B/op,20616,22520,21121.5,562.5814163301166,20838,20792,20279,19869
IntsRef,ops,49946,52597,51920.9,727.4436679221285,52205,49946,48987,48220
IntsRef,ns/op,22875,23310,23015.4,129.1806487056014,23087,22910,22892,22877
IntsRef,allocs/op,0,0,0,0,0,0,0,0
IntsRef,B/op,15,16,15.1,0.3,15,16,17,17
StringsClojures,ops,63,73,66.9,2.3430749027719964,66,66,66,66
StringsClojures,ns/op,16343833,18219943,17722010.3,488600.8282823618,17783748,18031638,18028604,18026177
StringsClojures,allocs/op,102739,103173,102991.9,100.59666992500298,103006,103029,103029,103029
StringsClojures,B/op,3265902,3276375,3271999.8,2427.338863858938,3272355,3272895,3272895,3272894
Ints,ops,50239,52644,51839.3,740.1472893958337,52070,51901,51780,51683
Ints,ns/op,22866,23654,23179.4,207.63487183033587,22946,23112,23006,22920
Ints,allocs/op,0,0,0,0,0,0,0,0
Ints,B/op,15,15,15,0,15,15,15,15
IntsClojures,ops,60,73,65.8,3.627671429443411,66,60,59,57
IntsClojures,ns/op,16123696,18233997,17564296.3,619889.5994336491,17588953,18233997,18388167,18511503
IntsClojures,allocs/op,100003,100027,100005.9,7.133722730804725,100003,100003,100003,100003
IntsClojures,B/op,3211855,3223412,3213613.8,3304.806523837666,3212226,3213436,3213755,3214009
StringsRef,ops,49410,50443,50062.2,363.0035261536725,50374,50184,50157,50135
StringsRef,ns/op,22981,23790,23254.8,248.57224302001222,23140,23255,22988,22774
StringsRef,allocs/op,3,4,3.3,0.45825756949558405,3,3,3,3
StringsRef,B/op,95,97,95.5,0.6708203932499369,95,95,95,95
Strings,ops,47587,50335,49276,826.0529038748064,48961,49758,49773,49784
Strings,ns/op,22972,24409,23429.4,379.9068833280071,23245,24409,24980,25436
Strings,allocs/op,3,4,3.9,0.3,3,4,4,4
Strings,B/op,95,101,97.1,1.8138357147217052,98,96,96,96
