goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkInts-16               	  513109	      2308 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  521436	      2329 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  527354	      2280 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  456741	      2433 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  498426	      2447 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  497020	      2326 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  507873	      2321 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  498373	      2418 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  520290	      2412 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  493837	      2437 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  507487	      2373 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  500265	      2342 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  486208	      2371 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  488302	      2338 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  484069	      2350 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  483279	      2357 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  512277	      2339 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  514806	      2344 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  517386	      2345 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  514881	      2318 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  519063	      2342 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  515762	      2336 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  513943	      2326 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  512230	      2319 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  510866	      2310 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  510381	      2351 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  499737	      2393 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  510291	      2360 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  524762	      2333 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  518762	      2305 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  526196	      2340 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  521859	      2320 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  516994	      2305 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  517724	      2290 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  520075	      2287 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  520165	      2315 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  515588	      2309 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  508117	      2319 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  519061	      2321 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  517622	      2314 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  521679	      2328 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  520740	      2318 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  525702	      2304 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  526539	      2323 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  510019	      2303 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  517993	      2290 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  523783	      2324 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  518847	      2309 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  512986	      2289 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  516541	      2313 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	    9872	    104850 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9946	    107020 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   10000	    103579 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9854	    104074 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9583	    107257 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9528	    108082 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   10876	    106226 ns/op	   80007 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9585	    106349 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9867	    106739 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9853	    109261 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   11100	    106386 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9831	    107101 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9938	    107842 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9391	    109360 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   10000	    107049 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9568	    106484 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9817	    106478 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9877	    109120 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9804	    108065 ns/op	   80008 B/op	   10000 allocs/op
