name,metric,min,max,avg,sd,median,pct90,pct95,pct99
StringsRef,ops,3975,4936,4557.42,213.38876165346667,4300,4690,4096,4537
StringsRef,ns/op,239448,274973,250239.76,7089.570335528099,259558,242056,268110,242196
StringsRef,allocs/op,10004,10004,10004,0,10004,10004,10004,10004
StringsRef,B/op,160098,160121,160106,5.2459508194416005,160112,160103,160116,160106
StructsRef,ops,58,61,59.88,1.0322790320451156,60,60,62,57
StructsRef,ns/op,18882602,19698133,19208287.88,211936.09418375528,19129465,18990381,18939084,19313855
StructsRef,allocs/op,10000,10000,10000,0,10000,10000,10000,10000
StructsRef,B/op,83231525,83299373,83256464.24,23391.421783688136,83253391,83253390,83220603,83322362
StringsClojures,ops,638,702,680.4,14.836441621898427,679,660,714,682
StringsClojures,ns/op,1714232,1833325,1756132,27863.854684519152,1743843,1817333,1723262,1769563
StringsClojures,allocs/op,10030,10033,10030.54,0.6988562083862461,10030,10031,10029,10030
StringsClojures,B/op,480725,481125,480755.46,55.089095109649385,480747,480768,480712,480745
IntsRef,ops,9243,11204,9883.44,467.3713367334373,9562,9888,9565,9525
IntsRef,ns/op,103579,121024,108808.26,3392.722887652335,109742,106867,104914,107837
IntsRef,allocs/op,10000,10000,10000,0,10000,10000,10000,10000
IntsRef,B/op,80007,80009,80008.08,0.523067873224881,80008,80008,80008,80008
Structs,ops,301,358,322.06,10.572435859346697,326,327,327,335
Structs,ns/op,3287457,3512317,3390433.96,57995.621738182956,3421812,3418911,3370460,3382098
Structs,allocs/op,0,0,0,0,0,0,0,0
Structs,B/op,223472,265790,248673.92,8054.7423443335565,245408,244657,244657,239090
Ints,ops,456741,527354,511148.92,13591.38658833601,510623,517993,516379,518319
Ints,ns/op,2280,2447,2335.68,38.705265791620654,2330,2290,2302,2325
Ints,allocs/op,0,0,0,0,0,0,0,0
Ints,B/op,0,0,0,0,0,0,0,0
Strings,ops,457800,518061,497124.1,9398.25406604865,498343,493561,501532,528741
Strings,ns/op,2283,2378,2315.76,23.281374529868295,2301,2342,2296,2284
Strings,allocs/op,0,0,0,0,0,0,0,0
Strings,B/op,0,1,0.06,0.23748684174075843,0,0,0,0
StructsClojures,ops,60,64,62.12,0.972419662491458,62,63,62,62
StructsClojures,ns/op,18019255,19181674,18551921.06,237673.52479183793,18797960,18659036,18969922,18667892
StructsClojures,allocs/op,20002,20002,20002,0,20002,20002,20002,20002
StructsClojures,B/op,83498274,83581613,83536420.56,20420.50930820287,83538940,83518102,83548824,83538596
IntsClojures,ops,592,694,673.2,20.118648065911387,679,682,691,690
IntsClojures,ns/op,1738179,1927578,1787585.46,36116.671630265155,1770363,1770960,1760865,1802435
IntsClojures,allocs/op,10002,10002,10002,0,10002,10002,10002,10002
IntsClojures,B/op,320147,320490,320162.62,50.46578643001613,320322,320148,320148,320147
